 # t     Ep     Ec     Et
  0.100000001     -0.591413438       0.00000000     -0.591413438    
  0.200000003     -0.591413438       2.94275233E-03 -0.588470697    
  0.300000012     -0.597358882       1.17710093E-02 -0.585587859    
  0.400000006     -0.609618664       2.68474463E-02 -0.582771242    
  0.500000000     -0.629111111       4.90693897E-02 -0.580041707    
  0.600000024     -0.657464445       8.00210610E-02 -0.577443361    
  0.699999988     -0.697381496      0.122299403     -0.575082064    
  0.800000012     -0.753468513      0.180259883     -0.573208630    
  0.900000036     -0.833958566      0.261562020     -0.572396517    
   1.00000000     -0.954075992      0.380502582     -0.573573411    
   1.10000002      -1.14656460      0.565677464     -0.580887139    
   1.20000005      -1.49508893      0.889690101     -0.605398834    
   1.30000007      -2.23225474       1.57258213     -0.659672618    
   1.39999998      -3.16410089       3.53291106      0.368810177    
   1.50000000      -1.59333539       5.97185326       4.37851810    
   1.60000002     -0.851856947       5.25492144       4.40306473    
   1.70000005     -0.563595414       4.86778402       4.30418873    
   1.80000007     -0.418581039       4.67959833       4.26101732    
   1.89999998     -0.332643390       4.57333326       4.24068975    
   2.00000000     -0.276008278       4.50577211       4.22976398    
   2.10000014     -0.235815108       4.45913315       4.22331810    
   2.20000005     -0.205780193       4.42492628       4.21914625    
   2.29999995     -0.182527944       4.39883137       4.21630335    
   2.40000010     -0.163973659       4.37825441       4.21428061    
   2.50000000     -0.148863107       4.36163759       4.21277428    
   2.60000014     -0.136322320       4.34796286       4.21164036    
   2.70000005     -0.125734314       4.33650541       4.21077108    
   2.79999995     -0.116674975       4.32675600       4.21008110    
   2.90000010     -0.108839422       4.31836557       4.20952606    
   3.00000000     -0.101984784       4.31106567       4.20908070    
   3.10000014      -9.59431902E-02   4.30464840       4.20870543    
   3.20000005      -9.05814618E-02   4.29897356       4.20839214    
   3.29999995      -8.57900679E-02   4.29391813       4.20812798    
   3.40000010      -8.14823583E-02   4.28938532       4.20790291    
   3.50000000      -7.75882751E-02   4.28529787       4.20770979    
   3.60000014      -7.40514994E-02   4.28159380       4.20754242    
   3.70000005      -7.08258599E-02   4.27822161       4.20739555    
   3.79999995      -6.78724200E-02   4.27514029       4.20726776    
   3.90000010      -6.51567131E-02   4.27231359       4.20715666    
   4.00000000      -6.26473054E-02   4.26970768       4.20706034    
   4.09999990      -6.03213981E-02   4.26729441       4.20697308    
   4.20000029      -5.81623502E-02   4.26505661       4.20689440    
   4.30000019      -5.61537072E-02   4.26297665       4.20682287    
   4.40000010      -5.42802475E-02   4.26103878       4.20675850    
   4.50000000      -5.25286011E-02   4.25922918       4.20670080    
   4.59999990      -5.08871041E-02   4.25753498       4.20664787    
   4.70000029      -4.93455604E-02   4.25594568       4.20660019    
   4.80000019      -4.78950329E-02   4.25445127       4.20655632    
   4.90000010      -4.65276577E-02   4.25304413       4.20651627    
   5.00000000      -4.52364646E-02   4.25171661       4.20648003    
   5.09999990      -4.40152623E-02   4.25046158       4.20644617    
   5.20000029      -4.28585038E-02   4.24927378       4.20641518    
   5.30000019      -4.17612270E-02   4.24814796       4.20638657    
   5.40000010      -4.07189466E-02   4.24707937       4.20636034    
   5.50000000      -3.97276208E-02   4.24606323       4.20633554    
   5.59999990      -3.87835838E-02   4.24509668       4.20631313    
   5.70000029      -3.78835201E-02   4.24417543       4.20629215    
   5.80000019      -3.70243974E-02   4.24329662       4.20627213    
   5.90000010      -3.62034664E-02   4.24245739       4.20625401    
   6.00000000      -3.54182012E-02   4.24165487       4.20623684    
   6.09999990      -3.46663147E-02   4.24088669       4.20622015    
   6.20000029      -3.39457095E-02   4.24015093       4.20620537    
   6.30000019      -3.32544744E-02   4.23944569       4.20619106    
   6.40000010      -3.25908549E-02   4.23876858       4.20617771    
   6.50000000      -3.19532491E-02   4.23811865       4.20616531    
   6.59999990      -3.13401744E-02   4.23749352       4.20615339    
   6.70000029      -3.07502486E-02   4.23689222       4.20614195    
   6.80000019      -3.01822014E-02   4.23631382       4.20613146    
   6.90000010      -2.96348464E-02   4.23575640       4.20612144    
   7.00000000      -2.91070752E-02   4.23521900       4.20611191    
   7.09999990      -2.85978578E-02   4.23470068       4.20610285    
   7.20000029      -2.81062368E-02   4.23420048       4.20609426    
   7.30000019      -2.76313182E-02   4.23371744       4.20608616    
   7.40000010      -2.71722656E-02   4.23325062       4.20607853    
   7.50000000      -2.67282967E-02   4.23279953       4.20607138    
   7.59999990      -2.62986869E-02   4.23236275       4.20606422    
   7.70000029      -2.58827545E-02   4.23194027       4.20605755    
   7.80000019      -2.54798587E-02   4.23153114       4.20605135    
   7.90000010      -2.50893999E-02   4.23113441       4.20604515    
   8.00000000      -2.47108135E-02   4.23075008       4.20603943    
   8.10000038      -2.43435595E-02   4.23037767       4.20603418    
   8.19999981      -2.39871182E-02   4.23001575       4.20602846    
   8.30000019      -2.36409828E-02   4.22966480       4.20602369    
   8.40000057      -2.33046580E-02   4.22932386       4.20601940    
   8.50000000      -2.29776632E-02   4.22899246       4.20601463    
   8.60000038      -2.26595569E-02   4.22867012       4.20601034    
   8.69999981      -2.23499518E-02   4.22835636       4.20600653    
   8.80000019      -2.20485311E-02   4.22805119       4.20600271    
   8.90000057      -2.17550248E-02   4.22775364       4.20599842    
   9.00000000      -2.14691777E-02   4.22746420       4.20599508    
   9.10000038      -2.11907402E-02   4.22718191       4.20599127    
   9.19999981      -2.09194571E-02   4.22690725       4.20598793    
   9.30000019      -2.06550695E-02   4.22663975       4.20598459    
   9.40000057      -2.03973241E-02   4.22637892       4.20598173    
   9.50000000      -2.01459788E-02   4.22612429       4.20597839    
   9.60000038      -1.99007951E-02   4.22587585       4.20597506    
   9.69999981      -1.96615476E-02   4.22563410       4.20597267    
   9.80000019      -1.94280241E-02   4.22539759       4.20596933    
   9.90000057      -1.92000177E-02   4.22516680       4.20596695    
   10.0000000      -1.89773310E-02   4.22494173       4.20596457    
   10.1000004      -1.87597834E-02   4.22472143       4.20596170    
   10.1999998      -1.85471941E-02   4.22450638       4.20595932    
   10.3000002      -1.83393937E-02   4.22429657       4.20595741    
   10.4000006      -1.81362238E-02   4.22409105       4.20595503    
   10.5000000      -1.79375280E-02   4.22389030       4.20595264    
   10.6000004      -1.77431609E-02   4.22369337       4.20595026    
   10.6999998      -1.75529812E-02   4.22350121       4.20594835    
   10.8000002      -1.73668545E-02   4.22331333       4.20594645    
   10.9000006      -1.71846524E-02   4.22312927       4.20594454    
   11.0000000      -1.70062520E-02   4.22294903       4.20594263    
   11.1000004      -1.68315358E-02   4.22277212       4.20594072    
   11.1999998      -1.66603886E-02   4.22259951       4.20593929    
   11.3000002      -1.64927039E-02   4.22243023       4.20593739    
   11.4000006      -1.63283758E-02   4.22226429       4.20593596    
   11.5000000      -1.61673054E-02   4.22210121       4.20593405    
   11.6000004      -1.60093978E-02   4.22194195       4.20593262    
   11.6999998      -1.58545598E-02   4.22178555       4.20593119    
   11.8000002      -1.57027002E-02   4.22163248       4.20592976    
   11.9000006      -1.55537380E-02   4.22148180       4.20592785    
   12.0000000      -1.54075893E-02   4.22133446       4.20592690    
   12.1000004      -1.52641749E-02   4.22118950       4.20592546    
   12.1999998      -1.51234185E-02   4.22104740       4.20592403    
   12.3000002      -1.49852475E-02   4.22090816       4.20592308    
   12.4000006      -1.48495911E-02   4.22077131       4.20592165    
   12.5000000      -1.47163812E-02   4.22063684       4.20592070    
   12.6000004      -1.45855527E-02   4.22050476       4.20591927    
   12.6999998      -1.44570423E-02   4.22037506       4.20591784    
   12.8000002      -1.43307885E-02   4.22024775       4.20591688    
   12.9000006      -1.42067326E-02   4.22012281       4.20591593    
   13.0000000      -1.40848178E-02   4.21999979       4.20591497    
   13.1000004      -1.39649892E-02   4.21987915       4.20591402    
   13.1999998      -1.38471937E-02   4.21975994       4.20591259    
   13.3000002      -1.37313791E-02   4.21964359       4.20591211    
   13.4000006      -1.36174969E-02   4.21952868       4.20591116    
   13.5000000      -1.35054989E-02   4.21941566       4.20591021    
   13.6000004      -1.33953374E-02   4.21930456       4.20590925    
   13.6999998      -1.32869696E-02   4.21919537       4.20590830    
   13.8000002      -1.31803500E-02   4.21908808       4.20590782    
   13.9000006      -1.30754374E-02   4.21898222       4.20590687    
   14.0000000      -1.29721900E-02   4.21887827       4.20590591    
   14.1000004      -1.28705697E-02   4.21877575       4.20590496    
   14.1999998      -1.27705382E-02   4.21867514       4.20590448    
   14.3000002      -1.26720564E-02   4.21857548       4.20590353    
   14.4000006      -1.25750899E-02   4.21847820       4.20590305    
   14.5000000      -1.24796024E-02   4.21838188       4.20590210    
   14.6000004      -1.23855611E-02   4.21828699       4.20590162    
   14.6999998      -1.22929327E-02   4.21819353       4.20590067    
   14.8000002      -1.22016855E-02   4.21810198       4.20590019    
   14.9000006      -1.21117868E-02   4.21801138       4.20589972    
   15.0000000      -1.20232077E-02   4.21792221       4.20589924    
   15.1000004      -1.19359177E-02   4.21783400       4.20589828    
   15.1999998      -1.18498877E-02   4.21774769       4.20589781    
   15.3000002      -1.17650917E-02   4.21766233       4.20589733    
   15.4000006      -1.16814999E-02   4.21757793       4.20589638    
   15.5000000      -1.15990872E-02   4.21749496       4.20589590    
   15.6000004      -1.15178274E-02   4.21741343       4.20589542    
   15.6999998      -1.14376945E-02   4.21733236       4.20589447    
   15.8000002      -1.13586653E-02   4.21725321       4.20589447    
   15.9000006      -1.12807145E-02   4.21717453       4.20589399    
   16.0000000      -1.12038208E-02   4.21709728       4.20589352    
   16.1000004      -1.11279609E-02   4.21702099       4.20589304    
   16.2000008      -1.10531151E-02   4.21694565       4.20589256    
   16.3000011      -1.09792612E-02   4.21687126       4.20589209    
   16.3999996      -1.09063815E-02   4.21679783       4.20589161    
   16.5000000      -1.08344564E-02   4.21672535       4.20589066    
   16.6000004      -1.07634682E-02   4.21665430       4.20589066    
   16.7000008      -1.06934002E-02   4.21658373       4.20589018    
   16.8000011      -1.06242346E-02   4.21651411       4.20588970    
   16.8999996      -1.05559556E-02   4.21644545       4.20588970    
   17.0000000      -1.04885483E-02   4.21637774       4.20588923    
   17.1000004      -1.04219960E-02   4.21631050       4.20588827    
   17.2000008      -1.03562847E-02   4.21624470       4.20588827    
   17.3000011      -1.02913985E-02   4.21617937       4.20588779    
   17.3999996      -1.02273235E-02   4.21611500       4.20588779    
   17.5000000      -1.01640448E-02   4.21605110       4.20588684    
   17.6000004      -1.01015475E-02   4.21598816       4.20588684    
   17.7000008      -1.00398175E-02   4.21592617       4.20588636    
   17.8000011      -9.97884013E-03   4.21586466       4.20588589    
   17.8999996      -9.91860125E-03   4.21580410       4.20588541    
   18.0000000      -9.85908695E-03   4.21574450       4.20588541    
   18.1000004      -9.80028324E-03   4.21568537       4.20588493    
   18.2000008      -9.74217523E-03   4.21562672       4.20588446    
   18.3000011      -9.68474988E-03   4.21556902       4.20588446    
   18.3999996      -9.62799322E-03   4.21551228       4.20588446    
   18.5000000      -9.57189221E-03   4.21545553       4.20588350    
   18.6000004      -9.51643381E-03   4.21539974       4.20588350    
   18.7000008      -9.46160499E-03   4.21534491       4.20588350    
   18.8000011      -9.40739550E-03   4.21529055       4.20588303    
   18.8999996      -9.35379323E-03   4.21523666       4.20588303    
   19.0000000      -9.30078700E-03   4.21518326       4.20588255    
   19.1000004      -9.24836844E-03   4.21513081       4.20588255    
   19.2000008      -9.19652730E-03   4.21507835       4.20588160    
   19.3000011      -9.14525520E-03   4.21502686       4.20588160    
   19.3999996      -9.09454469E-03   4.21497583       4.20588112    
   19.5000000      -9.04438645E-03   4.21492577       4.20588160    
   19.6000004      -8.99477396E-03   4.21487570       4.20588112    
   19.7000008      -8.94569885E-03   4.21482658       4.20588112    
   19.8000011      -8.89715645E-03   4.21477747       4.20588017    
   19.8999996      -8.84913653E-03   4.21472931       4.20588017    
   20.0000000      -8.80163442E-03   4.21468163       4.20588017    
   20.1000004      -8.75464268E-03   4.21463442       4.20587969    
   20.2000008      -8.70815292E-03   4.21458769       4.20587969    
   20.3000011      -8.66215955E-03   4.21454144       4.20587921    
   20.3999996      -8.61665513E-03   4.21449566       4.20587921    
   20.5000000      -8.57163221E-03   4.21445036       4.20587873    
   20.6000004      -8.52708519E-03   4.21440554       4.20587826    
   20.7000008      -8.48300662E-03   4.21436167       4.20587873    
   20.8000011      -8.43938906E-03   4.21431780       4.20587826    
   20.8999996      -8.39622784E-03   4.21427441       4.20587826    
   21.0000000      -8.35351367E-03   4.21423149       4.20587778    
   21.1000004      -8.31124280E-03   4.21418905       4.20587778    
   21.2000008      -8.26940779E-03   4.21414661       4.20587730    
   21.3000011      -8.22800305E-03   4.21410513       4.20587730    
   21.3999996      -8.18702299E-03   4.21406412       4.20587730    
   21.5000000      -8.14646110E-03   4.21402311       4.20587683    
   21.6000004      -8.10631178E-03   4.21398306       4.20587683    
   21.7000008      -8.06657132E-03   4.21394300       4.20587635    
   21.8000011      -8.02723318E-03   4.21390343       4.20587635    
   21.8999996      -7.98829272E-03   4.21386433       4.20587587    
   22.0000000      -7.94974715E-03   4.21382570       4.20587587    
   22.1000004      -7.91159086E-03   4.21378708       4.20587540    
   22.2000008      -7.87382014E-03   4.21374941       4.20587540    
   22.3000011      -7.83643313E-03   4.21371174       4.20587540    
   22.3999996      -7.79942563E-03   4.21367455       4.20587492    
   22.5000000      -7.76279578E-03   4.21363783       4.20587492    
   22.6000004      -7.72654312E-03   4.21360111       4.20587444    
   22.7000008      -7.69066671E-03   4.21356535       4.20587492    
   22.8000011      -7.65516656E-03   4.21352959       4.20587444    
   22.8999996      -7.62004452E-03   4.21349430       4.20587444    
   23.0000000      -7.58530386E-03   4.21345949       4.20587397    
   23.1000004      -7.55094877E-03   4.21342516       4.20587444    
   23.2000008      -7.51698250E-03   4.21339083       4.20587397    
   23.3000011      -7.48340786E-03   4.21335697       4.20587349    
   23.3999996      -7.45022157E-03   4.21332359       4.20587349    
   23.5000000      -7.41740409E-03   4.21329069       4.20587349    
   23.6000004      -7.38490606E-03   4.21325827       4.20587349    
   23.7000008      -7.35262781E-03   4.21322632       4.20587349    
   23.8000011      -7.32041989E-03   4.21319437       4.20587397    
   23.8999996      -7.28813699E-03   4.21316195       4.20587397    
   24.0000000      -7.25573208E-03   4.21313000       4.20587444    
   24.1000004      -7.22330017E-03   4.21309805       4.20587492    
   24.2000008      -7.19100377E-03   4.21306562       4.20587444    
   24.3000011      -7.15897512E-03   4.21303368       4.20587492    
   24.3999996      -7.12728500E-03   4.21300173       4.20587444    
   24.5000000      -7.09595578E-03   4.21297026       4.20587444    
   24.6000004      -7.06498697E-03   4.21293926       4.20587444    
   24.7000008      -7.03436695E-03   4.21290874       4.20587444    
   24.8000011      -7.00408127E-03   4.21287823       4.20587397    
   24.8999996      -6.97411597E-03   4.21284819       4.20587397    
   25.0000000      -6.94445986E-03   4.21281815       4.20587349    
   25.1000004      -6.91510178E-03   4.21278858       4.20587349    
   25.2000008      -6.88603288E-03   4.21275949       4.20587349    
   25.3000011      -6.85724523E-03   4.21273088       4.20587349    
   25.3999996      -6.82873325E-03   4.21270227       4.20587349    
   25.5000000      -6.80049090E-03   4.21267366       4.20587301    
   25.6000004      -6.77251350E-03   4.21264553       4.20587301    
   25.7000008      -6.74479734E-03   4.21261787       4.20587301    
   25.8000011      -6.71733823E-03   4.21259022       4.20587301    
   25.8999996      -6.69013290E-03   4.21256304       4.20587301    
   26.0000000      -6.66317856E-03   4.21253586       4.20587254    
   26.1000004      -6.63647149E-03   4.21250916       4.20587254    
   26.2000008      -6.61000796E-03   4.21248245       4.20587254    
   26.3000011      -6.58378331E-03   4.21245623       4.20587254    
   26.3999996      -6.55779103E-03   4.21243000       4.20587206    
   26.5000000      -6.53202133E-03   4.21240425       4.20587206    
   26.6000004      -6.50646212E-03   4.21237850       4.20587206    
   26.7000008      -6.48109522E-03   4.21235323       4.20587206    
   26.8000011      -6.45590015E-03   4.21232796       4.20587206    
   26.8999996      -6.43085130E-03   4.21230316       4.20587254    
   27.0000000      -6.40592491E-03   4.21227789       4.20587206    
   27.1000004      -6.38110191E-03   4.21225309       4.20587206    
   27.2000008      -6.35637250E-03   4.21222878       4.20587254    
   27.3000011      -6.33173995E-03   4.21220398       4.20587206    
   27.3999996      -6.30721916E-03   4.21217966       4.20587254    
   27.5000000      -6.28282968E-03   4.21215534       4.20587254    
   27.6000004      -6.25859248E-03   4.21213102       4.20587254    
   27.7000008      -6.23452524E-03   4.21210670       4.20587206    
   27.8000011      -6.21064007E-03   4.21208286       4.20587206    
   27.8999996      -6.18694490E-03   4.21205902       4.20587206    
   28.0000000      -6.16344437E-03   4.21203566       4.20587206    
   28.1000004      -6.14013849E-03   4.21201229       4.20587206    
   28.2000008      -6.11702632E-03   4.21198893       4.20587206    
   28.3000011      -6.09410554E-03   4.21196604       4.20587206    
   28.3999996      -6.07137335E-03   4.21194315       4.20587158    
   28.5000000      -6.04882604E-03   4.21192074       4.20587206    
   28.6000004      -6.02646079E-03   4.21189833       4.20587206    
   28.7000008      -6.00427389E-03   4.21187592       4.20587158    
   28.8000011      -5.98226162E-03   4.21185398       4.20587158    
   28.8999996      -5.96042117E-03   4.21183205       4.20587158    
   29.0000000      -5.93874883E-03   4.21181011       4.20587158    
   29.1000004      -5.91724273E-03   4.21178865       4.20587158    
   29.2000008      -5.89589961E-03   4.21176720       4.20587111    
   29.3000011      -5.87471621E-03   4.21174574       4.20587111    
   29.3999996      -5.85369114E-03   4.21172476       4.20587111    
   29.5000000      -5.83282113E-03   4.21170378       4.20587111    
   29.6000004      -5.81210433E-03   4.21168327       4.20587111    
   29.7000008      -5.79153839E-03   4.21166229       4.20587063    
   29.8000011      -5.77112148E-03   4.21164179       4.20587063    
   29.8999996      -5.75085124E-03   4.21162176       4.20587111    
   30.0000000      -5.73072582E-03   4.21160126       4.20587063    
   30.1000004      -5.71074337E-03   4.21158123       4.20587063    
   30.2000008      -5.69090201E-03   4.21156168       4.20587063    
   30.3000011      -5.67120034E-03   4.21154165       4.20587063    
   30.3999996      -5.65163651E-03   4.21152210       4.20587063    
   30.5000000      -5.63220866E-03   4.21150255       4.20587015    
   30.6000004      -5.61291585E-03   4.21148300       4.20587015    
   30.7000008      -5.59375575E-03   4.21146393       4.20587015    
   30.8000011      -5.57472743E-03   4.21144485       4.20587015    
   30.8999996      -5.55582903E-03   4.21142578       4.20587015    
   31.0000000      -5.53705962E-03   4.21140718       4.20587015    
   31.1000004      -5.51841734E-03   4.21138859       4.20587015    
   31.2000008      -5.49990125E-03   4.21136999       4.20587015    
   31.3000011      -5.48150949E-03   4.21135139       4.20586967    
   31.3999996      -5.46324160E-03   4.21133327       4.20587015    
   31.5000000      -5.44509524E-03   4.21131468       4.20586967    
   31.6000004      -5.42706996E-03   4.21129656       4.20586967    
   31.7000008      -5.40916435E-03   4.21127892       4.20586967    
   31.8000011      -5.39137702E-03   4.21126080       4.20586920    
   31.8999996      -5.37370751E-03   4.21124315       4.20586967    
   32.0000000      -5.35615347E-03   4.21122551       4.20586920    
   32.1000023      -5.33871492E-03   4.21120834       4.20586967    
   32.2000008      -5.32139000E-03   4.21119070       4.20586920    
   32.2999992      -5.30417776E-03   4.21117353       4.20586920    
   32.4000015      -5.28707728E-03   4.21115637       4.20586920    
   32.5000000      -5.27008763E-03   4.21113920       4.20586920    
   32.6000023      -5.25320694E-03   4.21112251       4.20586920    
   32.7000008      -5.23643522E-03   4.21110535       4.20586872    
   32.7999992      -5.21977106E-03   4.21108866       4.20586872    
   32.9000015      -5.20321308E-03   4.21107244       4.20586920    
   33.0000000      -5.18676080E-03   4.21105576       4.20586920    
   33.1000023      -5.17041283E-03   4.21103954       4.20586920    
   33.2000008      -5.15416823E-03   4.21102285       4.20586872    
   33.2999992      -5.13802655E-03   4.21100664       4.20586872    
   33.4000015      -5.12198638E-03   4.21099091       4.20586872    
   33.5000000      -5.10604680E-03   4.21097469       4.20586872    
   33.6000023      -5.09020686E-03   4.21095896       4.20586872    
   33.7000008      -5.07446611E-03   4.21094322       4.20586872    
   33.7999992      -5.05882269E-03   4.21092749       4.20586872    
   33.9000015      -5.04327659E-03   4.21091175       4.20586824    
   34.0000000      -5.02782688E-03   4.21089649       4.20586872    
   34.1000023      -5.01247169E-03   4.21088076       4.20586824    
   34.2000008      -4.99721151E-03   4.21086550       4.20586824    
   34.2999992      -4.98204445E-03   4.21085024       4.20586824    
   34.4000015      -4.96697053E-03   4.21083546       4.20586872    
   34.5000000      -4.95198788E-03   4.21082020       4.20586824    
   34.6000023      -4.93709696E-03   4.21080542       4.20586824    
   34.7000008      -4.92229545E-03   4.21079063       4.20586824    
   34.7999992      -4.90758382E-03   4.21077585       4.20586824    
   34.9000015      -4.89296066E-03   4.21076107       4.20586824    
   35.0000000      -4.87842551E-03   4.21074629       4.20586777    
   35.1000023      -4.86397743E-03   4.21073198       4.20586777    
   35.2000008      -4.84961551E-03   4.21071768       4.20586824    
   35.2999992      -4.83533880E-03   4.21070337       4.20586824    
   35.4000015      -4.82114684E-03   4.21068907       4.20586777    
   35.5000000      -4.80703916E-03   4.21067476       4.20586777    
   35.6000023      -4.79301484E-03   4.21066093       4.20586777    
   35.7000008      -4.77907294E-03   4.21064663       4.20586777    
   35.7999992      -4.76521300E-03   4.21063280       4.20586777    
   35.9000015      -4.75143408E-03   4.21061897       4.20586777    
   36.0000000      -4.73773573E-03   4.21060514       4.20586729    
   36.1000023      -4.72411700E-03   4.21059179       4.20586777    
   36.2000008      -4.71057743E-03   4.21057796       4.20586729    
   36.2999992      -4.69711609E-03   4.21056461       4.20586729    
   36.4000015      -4.68373252E-03   4.21055126       4.20586777    
   36.5000000      -4.67042578E-03   4.21053791       4.20586729    
   36.6000023      -4.65719588E-03   4.21052456       4.20586729    
   36.7000008      -4.64404142E-03   4.21051121       4.20586729    
   36.7999992      -4.63096239E-03   4.21049833       4.20586729    
   36.9000015      -4.61795786E-03   4.21048546       4.20586729    
   37.0000000      -4.60502692E-03   4.21047211       4.20586729    
   37.1000023      -4.59216908E-03   4.21045923       4.20586729    
   37.2000008      -4.57938435E-03   4.21044683       4.20586729    
   37.2999992      -4.56667133E-03   4.21043396       4.20586729    
   37.4000015      -4.55403002E-03   4.21042109       4.20586729    
   37.5000000      -4.54145949E-03   4.21040869       4.20586729    
   37.6000023      -4.52895928E-03   4.21039581       4.20586681    
   37.7000008      -4.51652892E-03   4.21038342       4.20586681    
   37.7999992      -4.50416747E-03   4.21037102       4.20586681    
   37.9000015      -4.49187448E-03   4.21035862       4.20586681    
   38.0000000      -4.47964948E-03   4.21034670       4.20586681    
   38.1000023      -4.46749246E-03   4.21033430       4.20586681    
   38.2000008      -4.45540203E-03   4.21032238       4.20586681    
   38.2999992      -4.44337772E-03   4.21031046       4.20586729    
   38.4000015      -4.43141954E-03   4.21029806       4.20586681    
   38.5000000      -4.41952702E-03   4.21028614       4.20586681    
   38.6000023      -4.40769875E-03   4.21027470       4.20586681    
   38.7000008      -4.39593475E-03   4.21026278       4.20586681    
   38.7999992      -4.38423501E-03   4.21025085       4.20586681    
   38.9000015      -4.37259814E-03   4.21023941       4.20586681    
   39.0000000      -4.36102413E-03   4.21022749       4.20586634    
   39.1000023      -4.34951251E-03   4.21021605       4.20586634    
   39.2000008      -4.33806237E-03   4.21020460       4.20586634    
   39.2999992      -4.32667369E-03   4.21019316       4.20586634    
   39.4000015      -4.31534555E-03   4.21018171       4.20586634    
   39.5000000      -4.30407794E-03   4.21017075       4.20586681    
   39.6000023      -4.29287041E-03   4.21015930       4.20586634    
   39.7000008      -4.28172154E-03   4.21014833       4.20586681    
   39.7999992      -4.27063182E-03   4.21013689       4.20586634    
   39.9000015      -4.25960077E-03   4.21012592       4.20586634    
   40.0000000      -4.24862746E-03   4.21011496       4.20586634    
   40.1000023      -4.23771143E-03   4.21010399       4.20586634    
   40.2000008      -4.22685221E-03   4.21009302       4.20586634    
   40.2999992      -4.21604980E-03   4.21008253       4.20586634    
   40.4000015      -4.20530327E-03   4.21007156       4.20586634    
   40.5000000      -4.19461261E-03   4.21006107       4.20586634    
   40.6000023      -4.18397645E-03   4.21005011       4.20586634    
   40.7000008      -4.17339569E-03   4.21003962       4.20586634    
   40.7999992      -4.16286848E-03   4.21002913       4.20586634    
   40.9000015      -4.15239530E-03   4.21001863       4.20586634    
   41.0000000      -4.14197519E-03   4.21000814       4.20586634    
   41.1000023      -4.13160818E-03   4.20999765       4.20586586    
   41.2000008      -4.12129331E-03   4.20998716       4.20586586    
   41.2999992      -4.11103014E-03   4.20997715       4.20586634    
   41.4000015      -4.10081865E-03   4.20996666       4.20586586    
   41.5000000      -4.09065792E-03   4.20995665       4.20586586    
   41.6000023      -4.08054749E-03   4.20994663       4.20586586    
   41.7000008      -4.07048734E-03   4.20993662       4.20586634    
   41.7999992      -4.06047655E-03   4.20992661       4.20586634    
   41.9000015      -4.05051466E-03   4.20991659       4.20586586    
   42.0000000      -4.04060166E-03   4.20990658       4.20586586    
   42.1000023      -4.03073663E-03   4.20989656       4.20586586    
   42.2000008      -4.02091956E-03   4.20988703       4.20586634    
   42.2999992      -4.01114952E-03   4.20987701       4.20586586    
   42.4000015      -4.00142604E-03   4.20986748       4.20586586    
   42.5000000      -3.99174914E-03   4.20985746       4.20586586    
   42.6000023      -3.98211833E-03   4.20984793       4.20586586    
